id;nome_solicitante;cpf_solicitante;data_solicitacao;endereco;ponto_referencia;situacao_solicitante;quantidade_pessoas;retira_doacao;perdeu_moradia;perdeu_emprego;idoso_deficiente;filhos_pequenos;observacao;data_aprovacao;ativa;fator_prioridade;status_solicitacao
1;Rand;reboot;2022-03-18;matrix 24/7;optimize;Czech Ways;4457;true;false;false;true;true;Singapore Unbranded;2022-03-18;false;39866;REPETIDO
2;Practical;budgetary;2022-03-18;Hampshire grey;Stravenue navigate;pink synthesizing Fundamental;95039;false;false;false;false;false;efficient grow Account;2022-03-17;false;62715;CANCELADO
3;synthesizing Shirt hack;Industrial Fish;2022-03-18;Investment neural;deposit Assimilated;Cotton Associate Realigned;50538;false;false;true;false;true;systematic Small;2022-03-18;false;40634;ATENDIDO
4;Shoes;Nevada deploy cross-platform;2022-03-17;functionalities ROI Assistant;Implementation Sports Pizza;Mouse Metal;22549;false;true;true;true;false;Franc;2022-03-18;false;67849;ENCAMINHADO
5;Integrated programming withdrawal;vortals;2022-03-18;Games Solutions Roads;Uganda neural;Georgia;76020;true;true;true;false;false;synergy Communications;2022-03-18;true;59064;ENCAMINHADO
6;systems Dynamic Unbranded;Fresh Avon;2022-03-18;Metal Corporate;virtual digital;hacking Bike;66258;false;true;false;true;false;Rustic upward-trending;2022-03-18;true;69721;CANCELADO
7;feed Manager Implemented;Reactive;2022-03-18;Automotive;Iowa;Granite Ergonomic;72675;true;true;false;false;true;maroon online synthesizing;2022-03-18;true;38635;ENCAMINHADO
8;Ports mobile Buckinghamshire;Market synthesizing;2022-03-18;transparent;lavender Cotton Computer;innovate Savings;41075;true;true;true;false;false;hacking;2022-03-17;true;99930;ATENDIDO
9;Soft;B2B matrix revolutionary;2022-03-18;Paradigm;algorithm Human Turkey;Stand-alone;49228;false;true;false;true;false;Assimilated Reduced;2022-03-18;true;4196;ATENDIDO
10;Marketing;Total Hills;2022-03-17;array;deposit Directives;connecting Vermont one-to-one;66331;true;true;true;true;true;multi-state Platinum;2022-03-17;true;93603;ENCAMINHADO
